OBJECTID *,Shape *,RevDate,SourceAgency,DataSource,HztlAccuracy,GNIS_Name,GlobalID *,Shape_Length,Shape_Area,Lat,Long
1,Polygon Z,12/1/2014,UA,Digital SDMI Imagery,Medium Resolution Satellite Derived,Chikuminuk Glacier,{8E1F591D-30DB-4105-8B56-007400F3FDC3},23730.35139,6477187.966,1137393.517,-292576.7192
2,Polygon Z,12/1/2014,UA,Digital SDMI Imagery,Medium Resolution Satellite Derived,Finger Glacier,{5BC71C8F-4D90-4A90-B56D-AD57B3B1B842},597.250257,8578.432762,702712.5101,-327711.3118
3,Polygon Z,12/1/2014,UA,Digital SDMI Imagery,Medium Resolution Satellite Derived,The Knife Creek Glacier,{A2E3E1F4-544E-4F10-BDA7-14789B556568},27799.92464,11838039.64,918717.538,-62597.90445
4,Polygon Z,12/1/2014,UA,Digital SDMI Imagery,Medium Resolution Satellite Derived,Harpoon Glacier,{5CD3FDB8-EF4B-4BD1-8F04-FE4AAD02664E},718.656571,20172.77962,702920.3581,-327843.7217
5,Polygon Z,12/1/2014,UA,Digital SDMI Imagery,Medium Resolution Satellite Derived,Slim Glacier,{59A95D82-0FEE-4FA7-AC1F-59F9B4B7629A},1750.250094,142028.1459,698841.7648,-330035.0093
6,Polygon Z,12/1/2014,UA,Digital SDMI Imagery,Medium Resolution Satellite Derived,Bench Glacier,{8E76ABA7-13E8-4437-AE28-66CA00A13F9C},16236.45552,8089960.261,1254962.659,447233.19
7,Polygon Z,12/1/2014,UA,Digital SDMI Imagery,Medium Resolution Satellite Derived,Heiden Glacier,{816AFB46-85BB-417C-B3D0-13BEBC8D34A7},10142.80914,4077829.244,1257142.651,447781.2114
8,Polygon Z,12/1/2014,UA,Digital SDMI Imagery,Medium Resolution Satellite Derived,Silver Glacier,{1D6EB5F8-44A9-4C83-8A58-A4A8E80A811E},5150.762006,955309.9027,1234465.727,409747.6101
9,Polygon Z,12/1/2014,UA,Digital SDMI Imagery,Medium Resolution Satellite Derived,Porcupine Glacier,{4D7C6400-BFDE-407C-8881-9431FAF31B99},7499.949361,720276.9083,1121819.977,263162.5545
10,Polygon Z,12/1/2014,UA,Digital SDMI Imagery,Medium Resolution Satellite Derived,Prospect Glacier,{C67E4219-CF85-4A26-AF5C-D08C01DDF2E7},5781.614472,764957.8576,1124956.424,263263.4016
11,Polygon Z,12/1/2014,UA,Digital SDMI Imagery,Medium Resolution Satellite Derived,Spoon Glacier,{87A52681-DDE1-4A4F-A143-639765133520},10344.94777,1208023.655,1123691.74,263531.3891
12,Polygon Z,12/1/2014,UA,Digital SDMI Imagery,Medium Resolution Satellite Derived,Applegate Glacier,{9F1BBA66-A3BD-4AEC-B2F8-BDE22CDBCB7B},12432.51892,1618822.841,1175411.063,295778.7315
13,Polygon Z,12/1/2014,UA,Digital SDMI Imagery,Medium Resolution Satellite Derived,Puget Glacier,{6D8F122D-B277-4C9D-84CB-249465065480},34625.43356,13352879.35,1132786.213,300494.7156
14,Polygon Z,12/1/2014,UA,Digital SDMI Imagery,Medium Resolution Satellite Derived,Seth Glacier,{1FF69196-6156-4A4D-B5A2-218E59EADE94},10837.08451,2793159.961,1222453.706,296456.2415
15,Polygon Z,12/1/2014,UA,Digital SDMI Imagery,Medium Resolution Satellite Derived,Contact Glacier,{2C97F4F9-08EC-4A9D-B5EA-CB3E60EFE1A5},15835.26017,4810191.933,1177624.693,304088.4008
16,Polygon Z,12/1/2014,UA,Digital SDMI Imagery,Medium Resolution Satellite Derived,Detached Glacier,{2483DADD-5E3D-4785-8454-0354A96E8CF0},9099.635836,1680117.609,1245010.454,301022.9478
17,Polygon Z,12/1/2014,UA,Digital SDMI Imagery,Medium Resolution Satellite Derived,Toboggan Glacier,{CFF28F2D-5C46-4931-9F25-FDC8B6689B4D},12475.18006,1715065.938,1239121.049,307819.2293
18,Polygon Z,12/1/2014,UA,Digital SDMI Imagery,Medium Resolution Satellite Derived,Cap Glacier,{FC0A1B85-AA11-4E7C-8AA6-4E8312B386FE},6588.809999,1583168.393,1233540.054,328471.6443
19,Polygon Z,12/1/2014,UA,Digital SDMI Imagery,Medium Resolution Satellite Derived,Tommy Glacier,{7956F3CF-16F7-412E-B609-3EC2DAD2F1D8},6852.59168,624947.1796,1238018.091,329201.1881
20,Polygon Z,12/1/2014,UA,Digital SDMI Imagery,Medium Resolution Satellite Derived,Baby Glacier,{25338C8D-D19B-471A-A82B-D41A86A9479E},7055.525913,540669.3906,1258813.583,342686.1338
21,Polygon Z,12/1/2014,UA,Digital SDMI Imagery,Medium Resolution Satellite Derived,Brilliant Glacier,{0E16DD48-88E0-4269-A635-E52EB0D2529A},12432.05937,1890042.939,1256262.779,351382.21
22,Polygon Z,12/1/2014,UA,Digital SDMI Imagery,Medium Resolution Satellite Derived,Westbrook Glacier,{3D1010B3-69C2-42E9-95D6-32FEBAD27BEC},7524.046362,915803.7286,1258979.781,391854.4404
23,Polygon Z,12/1/2014,UA,Digital SDMI Imagery,Medium Resolution Satellite Derived,Tonsina Glacier,{467391A3-5118-4DED-9D2A-BCA47BCDFC96},7108.061859,1424963.558,1282499.899,428150.8278
24,Polygon Z,12/1/2014,UA,Digital SDMI Imagery,Medium Resolution Satellite Derived,Lare Glacier,{79FB6EB5-CCC0-470B-B4E7-F7EDFE188CD3},8702.056935,1834912.457,1181788.396,672809.458
25,Polygon Z,12/1/2014,UA,Digital SDMI Imagery,Medium Resolution Satellite Derived,Daisy Glacier,{121A985F-72B5-4F1A-A3A0-206EEC64FD3C},17426.23618,4469038.91,1198392.067,700648.5274
26,Polygon Z,2/5/2018,UA,Digital SDMI Imagery,Medium Resolution Satellite Derived,Ogive Glacier,{2AA92A1C-510C-423F-B1FE-0D2E3E576997},23752.8168,7467287.349,1096870.567,216483.816
27,Polygon Z,12/1/2014,UA,Digital SDMI Imagery,Medium Resolution Satellite Derived,Lechner Glacier,{E34BDE7A-71F1-4F0A-B4D9-CA2674DCF512},7473.822139,940417.3229,1113338.817,243518.2054
28,Polygon Z,12/1/2014,UA,Digital SDMI Imagery,Medium Resolution Satellite Derived,Rubin Glacier,{E77D1F66-973E-4D49-95F4-D4780842EEFA},19694.51757,3711981.705,1264403.289,426742.1261
29,Polygon Z,1/1/2019,USFS,Digital SDMI Imagery,Medium Resolution Satellite Derived,Ultramarine Glacier,{CE1F9728-B556-40EE-B884-B8744D05AF89},28606.88341,18217793.17,1168927.338,308177.6166
30,Polygon Z,12/1/2014,UA,Digital SDMI Imagery,Medium Resolution Satellite Derived,Moraine/Apron Glacier,{E03E67FE-5466-4318-98C2-74860F5AEE69},20886.66423,15731756.15,1183560.754,685162.3504
31,Polygon Z,12/1/2014,UA,Digital SDMI Imagery,Medium Resolution Satellite Derived,Eaglek Glacier,{47C54828-36AB-418D-8FCD-3D65819E6788},4711.970767,333518.7457,1232633.566,334478.4979
32,Polygon Z,12/1/2014,UA,Digital SDMI Imagery,Medium Resolution Satellite Derived,Coal Glacier,{34DBB3D5-8A40-4B75-9054-A6957D58B139},7213.700807,858411.6627,1203325.359,700443.9518
33,Polygon Z,12/1/2014,UA,Digital SDMI Imagery,Medium Resolution Satellite Derived,Annin Glacier,{B6F7F802-3AE5-4FD4-9949-9DBB73F1BFF7},2884.705844,234937.8192,1257577.179,391924.5946
34,Polygon Z,12/1/2014,UA,Digital SDMI Imagery,Medium Resolution Satellite Derived,Cheja West Glacier,{F8F3FA0E-70F6-480F-B8BA-544ECF86D6C0},5328.187929,734641.3666,1100143.087,1240819.832
35,Polygon Z,12/1/2014,UA,Digital SDMI Imagery,Medium Resolution Satellite Derived,Leaking Glacier,{EF585B41-CC6E-4EE5-8AD5-4699B26ACC38},6182.879975,1420061.266,1105196.765,1123851.646
36,Polygon Z,12/1/2014,UA,Digital SDMI Imagery,Medium Resolution Satellite Derived,Leaking Glacier,{76479139-3EDF-4BC6-8866-7F193A49CAD1},2592.499174,123346.1463,1105857.244,1123996.01
37,Polygon Z,12/1/2014,UA,Digital SDMI Imagery,Medium Resolution Satellite Derived,Villard Glacier,{10663CB9-218F-4FBA-826A-8574DFE17C8B},7955.368049,1030550.942,1181814.597,1050622.706
38,Polygon Z,12/1/2014,UA,Digital SDMI Imagery,Medium Resolution Satellite Derived,Ogive Glacier,{9F0C2897-1294-47BC-A5F5-1D2AC9B9C548},25501.52977,9056620.604,1167001.753,1083942.402
39,Polygon Z,12/1/2014,UA,Digital SDMI Imagery,Medium Resolution Satellite Derived,Battle Glacier,{D2105815-334E-4EE5-A64A-B2938350F684},3657.477034,319616.9139,1128311.584,1107881.862
40,Polygon Z,12/1/2014,UA,Digital SDMI Imagery,Medium Resolution Satellite Derived,Field Glacier,{472A9DB1-6C9C-4EFC-8F13-DC039461755C},5603.355752,424363.1961,1168790.463,1088052.08
41,Polygon Z,12/1/2014,UA,Digital SDMI Imagery,Medium Resolution Satellite Derived,Tulsequah Glacier,{7BB19A82-8DD2-40C2-B579-BE3A4E71B813},7607.464795,2292845.753,1153026.243,1119495.062
42,Polygon Z,12/1/2014,UA,Digital SDMI Imagery,Medium Resolution Satellite Derived,Sumdum Glacier,{2B132D77-5F3D-465B-A181-36E7ECED78A7},14748.99751,6678195.399,1052600.616,1200032.078
43,Polygon Z,12/1/2014,UA,Digital SDMI Imagery,Medium Resolution Satellite Derived,Irene Glacier,{AEAABFA7-DBC6-4A20-8C0D-EED60024D0EC},12064.11249,2736871.074,1210376.137,1033214.081
44,Polygon Z,12/1/2014,UA,Digital SDMI Imagery,Medium Resolution Satellite Derived,John Glacier,{58331389-49F7-4AC1-997A-6362B74CD535},12123.15364,2170277.244,1106356.902,957419.4718
45,Polygon Z,12/1/2014,UA,Digital SDMI Imagery,Medium Resolution Satellite Derived,Kadachan Glacier,{9733EC77-745A-4129-A92E-77D6A8D2DB38},5156.410799,1035292.475,1111267.927,959969.863
46,Polygon Z,12/1/2014,UA,Digital SDMI Imagery,Medium Resolution Satellite Derived,White Glacier,{E717A35A-342F-49E8-813A-6EFEA625A112},12491.67394,2781504.174,1118597.955,1028102.648
47,Polygon Z,12/1/2014,UA,Digital SDMI Imagery,Medium Resolution Satellite Derived,Adams Glacier,{0F22DBD8-A71F-4FA4-B0C1-7C4C157D13C5},21328.26498,4559969.922,1118397.314,1032765.327
48,Polygon Z,12/1/2014,UA,Digital SDMI Imagery,Medium Resolution Satellite Derived,Twin Glacier,{8809C5F0-DA58-4919-80D4-62CD04E89F1D},4913.905535,865708.4616,1121444.888,997912.2132
49,Polygon Z,12/1/2014,UA,Digital SDMI Imagery,Medium Resolution Satellite Derived,Morse Glacier,{1342DA01-0471-44B2-9EC0-408FCE1742FE},9025.585201,2337136.081,1120644.199,1005648.658
50,Polygon Z,12/1/2014,UA,Digital SDMI Imagery,Medium Resolution Satellite Derived,Patton Glacier,{2B5C767D-87A6-40ED-A146-E1F95BB8D4A5},10161.15474,2277899.854,1123769.097,1004339.779
51,Polygon Z,12/1/2014,UA,Digital SDMI Imagery,Medium Resolution Satellite Derived,Andrews Glacier,{E7BCD146-87DA-4EDC-972F-52424D7977B6},9275.093541,2337426.53,1123783.816,1002105.58
52,Polygon Z,12/1/2014,UA,Digital SDMI Imagery,Medium Resolution Satellite Derived,Romer Glacier,{665A7A41-58AD-483E-A7D8-7CACD4DFBC5A},12449.74003,2816553.979,1126317.506,977588.3641
53,Polygon Z,12/1/2014,UA,Digital SDMI Imagery,Medium Resolution Satellite Derived,Kashoto Glacier,{3CC63295-2B7D-45CB-9F52-959454B7D82B},12997.15569,4038674.098,1108646.631,966441.9071
54,Polygon Z,12/1/2014,UA,Digital SDMI Imagery,Medium Resolution Satellite Derived,Little Jarvis Glacier,{21628E73-0ED1-4F98-8AF5-C5D7037C6566},8097.278722,1799204.074,1176149.332,983553.1652
55,Polygon Z,12/1/2014,UA,Digital SDMI Imagery,Medium Resolution Satellite Derived,Toyatte Glacier,{BBE7F7A2-2A9E-4E09-BC68-63F5761878AB},17941.04751,5040121.364,1113137.322,959003.8735
56,Polygon Z,12/1/2014,UA,Digital SDMI Imagery,Medium Resolution Satellite Derived,Loomis Glacier,{89EDD059-D74A-4262-92A9-9E39C9571E56},5540.348674,984030.7262,1125515.959,996924.8341
57,Polygon Z,12/1/2014,UA,Digital SDMI Imagery,Medium Resolution Satellite Derived,Scidmore Glacier,{A8F6E118-B62F-4C89-A461-7AA938C226A3},20028.96174,5102443.517,1106857.116,983138.1606
58,Polygon Z,12/1/2014,UA,Digital SDMI Imagery,Medium Resolution Satellite Derived,Klooch Glacier,{04C220C1-4EE6-439A-B380-10170AF2C079},23260.49719,7167136.065,1076525.017,957893.444
59,Polygon Z,12/1/2014,UA,Digital SDMI Imagery,Medium Resolution Satellite Derived,Burroughs Glacier,{5CC9DB45-433E-4C70-A0AA-9BC200D7B9D5},8960.984036,2884033.853,1133743.008,1004114.647
60,Polygon Z,12/1/2014,UA,Digital SDMI Imagery,Medium Resolution Satellite Derived,Muir Glacier,{FC4FA495-66D3-4451-80F1-EA68AFA2E7A4},5510.405189,716397.2609,1158585.063,978572.234
61,Polygon Z,12/1/2014,UA,Digital SDMI Imagery,Medium Resolution Satellite Derived,Garrison Glacier,{3ADAAC13-00B4-4780-A091-AAF40A8113C6},108.346261,152.482203,1157639.956,1027176.038
62,Polygon Z,12/1/2014,UA,Digital SDMI Imagery,Medium Resolution Satellite Derived,Hoonah Glacier,{D11D9FF2-21E0-427D-8F66-BDA27753D36A},22802.65404,9517702.131,1106213.896,966667.5556
63,Polygon Z,12/1/2014,UA,Digital SDMI Imagery,Medium Resolution Satellite Derived,Maynard Glacier,{B89477EF-D1C9-4FC4-9568-BB920A67EE27},14465.45803,3096632.375,1096836.38,993563.3938
64,Polygon Z,12/1/2014,UA,Digital SDMI Imagery,Medium Resolution Satellite Derived,Ferris Glacier,{A7D9AAFF-ACA9-45C2-A3CE-A2B7361C584A},657.869078,2373.201424,1116017.137,936138.5964
65,Polygon Z,12/1/2014,UA,Digital SDMI Imagery,Medium Resolution Satellite Derived,Cascade Glacier,{96EA2D80-622F-41FC-A3CA-1E61823C71A6},22318.02205,6090544.68,1083367.251,948839.6704
66,Polygon Z,12/1/2014,UA,Digital SDMI Imagery,Medium Resolution Satellite Derived,Geikie Glacier,{DE20F4C9-6426-4B19-8CF4-422232F56F5D},20377.79409,6273827.979,1083826.583,996847.1732
67,Polygon Z,12/1/2014,UA,Digital SDMI Imagery,Medium Resolution Satellite Derived,Baldwin Glacier,{5BDCE29D-187E-4E7A-AF3C-D0EB55B47B48},19083.48234,3180728.665,1123933.015,998762.685
68,Polygon Z,12/1/2014,UA,Digital SDMI Imagery,Medium Resolution Satellite Derived,Split Thumb Icefall,{E8184DEC-E39E-4A82-9844-E74E8D77CD1C},7461.981571,1424877.542,1103366.955,1131916.015
69,Polygon Z,12/1/2014,UA,Digital SDMI Imagery,Medium Resolution Satellite Derived,North Baird Glacier,{073F416E-DDA6-4027-9DF9-689A01B07D8C},1373.528646,12099.26651,1017160.415,1255915.85
70,Polygon Z,12/1/2014,UA,Digital SDMI Imagery,Medium Resolution Satellite Derived,Clark Glacier,{3E9A6366-5D44-4DE9-9D8E-C0E3127D78EF},4328.036596,869536.6585,1102248.991,962231.9994
71,Polygon Z,12/1/2014,UA,Digital SDMI Imagery,Medium Resolution Satellite Derived,Black Rapids Glacier,{5D627344-65C7-40AF-B8B7-6E4D4D280C94},1144.725118,12169.03479,1528261.202,369081.49
72,Polygon Z,12/1/2014,UA,Digital SDMI Imagery,Medium Resolution Satellite Derived,Pegmatite Glacier,{8A0B60C1-241F-4EB5-A13E-C0550545BC20},2400.869859,219161.8529,1505539.132,430331.8651
73,Polygon Z,12/1/2014,UA,Digital SDMI Imagery,Medium Resolution Satellite Derived,McCallum Glacier,{C72BA940-0D45-4CD9-83B7-FC869CB2FB03},4620.788359,812216.2108,1508230.81,418319.6226
74,Polygon Z,12/1/2014,UA,Digital SDMI Imagery,Medium Resolution Satellite Derived,West Gulkana Glacier,{A5B58607-E430-494F-A4C8-16D018DE8FE3},11766.54078,2159989.314,1506494.379,423706.0338
75,Polygon Z,12/1/2014,UA,Digital SDMI Imagery,Medium Resolution Satellite Derived,Riley Creek Glacier,{9C896DB0-3137-4676-9E23-A0995DD71755},8963.088503,2620326.931,1535258.993,416737.7507
76,Polygon Z,12/1/2014,UA,Digital SDMI Imagery,Medium Resolution Satellite Derived,Tok Glacier,{B74C4DFD-3454-4A32-8DAA-D354B544A0A2},11032.4859,3543745.904,1499560.143,490629.1077
77,Polygon Z,12/1/2014,UA,Digital SDMI Imagery,Medium Resolution Satellite Derived,Windy Glacier,{006C9627-74D4-4DB7-82DD-89A007532642},5268.880435,1004358.604,2080154.916,271285.1329
78,Polygon Z,12/1/2014,UA,Digital SDMI Imagery,Medium Resolution Satellite Derived,Seefar Glacier,{F20B4A0B-8374-45D0-97F4-A9D67D981486},1708.88742,183040.0354,2080607.972,275914.0395
79,Polygon Z,12/1/2014,UA,Digital SDMI Imagery,Medium Resolution Satellite Derived,Sheep Glacier,{F025BDA5-316A-4361-A1BF-7D001FD75B03},15813.38893,6343988.815,1409362.922,503528.7044
80,Polygon Z,12/1/2014,UA,Digital SDMI Imagery,Medium Resolution Satellite Derived,Toklat2,{D20CDDEF-EB0B-4D01-914A-B0C99CA21422},33821.49316,7642555.637,1496314.574,204982.5437
81,Polygon Z,7/9/2020 16:44,UA,Digital SDMI Imagery,Medium Resolution Satellite Derived,Toklat1,{E071A167-BD8D-49FC-867F-3346BF709137},26314.80855,6388736.457,1502245.601,215485.7685
82,Polygon Z,12/1/2014,UA,Digital SDMI Imagery,Medium Resolution Satellite Derived,West Fork Glacier,{A5159A92-B244-46B2-9C64-653D0EF65C51},90309.16582,33051185.52,1483070.892,191678.1203
83,Polygon Z,12/1/2014,UA,Digital SDMI Imagery,Medium Resolution Satellite Derived,West Fork Glacier,{E44FC238-DAA5-44FD-812F-DE70599967F8},138.580153,459.97755,1488828.907,190610.722
84,Polygon Z,12/1/2014,UA,Digital SDMI Imagery,Medium Resolution Satellite Derived,Polychrome Glacier,{117F8C66-6D17-4B2D-B5F3-4200C0C3197E},4395.077856,660475.1191,1504248.314,206926.8095
85,Polygon Z,12/1/2014,UA,Digital SDMI Imagery,Medium Resolution Satellite Derived,Sunrise Glacier,{17BC3B48-3E7D-445D-8694-A28224787F09},4493.327802,503701.964,1494277.664,191203.3274
86,Polygon Z,7/9/2020 15:47,UA,Digital SDMI Imagery,Medium Resolution Satellite Derived,Toklat3,{A2391B80-F958-4602-BE8E-EADFFF0423E3},48.207112,19.863574,1493010.164,195470.6213
87,Polygon Z,7/9/2020 15:48,UA,Digital SDMI Imagery,Medium Resolution Satellite Derived,Sunset Glacier,{73C1C85F-B8A7-494A-B6DC-D409C042C8A3},1525.049151,81642.02336,1490510.223,193214.6675
88,Polygon Z,7/9/2020 15:47,UA,Digital SDMI Imagery,Medium Resolution Satellite Derived,Sunset Glacier,{3B4EF6BD-33A5-4ADD-B616-2F540CB74CB5},37288.69459,7582504.832,1491494.544,190487.1728
89,Polygon Z,7/9/2020 16:02,UA,Digital SDMI Imagery,Medium Resolution Satellite Derived,Cantwell Glacier,{FD1C9533-C0F9-40D9-B45A-0943B97B5D2F},15938.9474,4141873.228,1505115.068,227921.5872
90,Polygon Z,12/1/2014,UA,Digital SDMI Imagery,Medium Resolution Satellite Derived,<Null>,{B9E4BB87-813D-42F0-8925-89394005D422},1091.506143,81989.34748,470622.0723,-1357482.795
91,Polygon Z,12/1/2014,UA,Digital SDMI Imagery,Medium Resolution Satellite Derived,<Null>,{5C2D93C1-1200-4140-B004-C17472F74130},2824.9028,336806.0343,471244.3638,-1357058.289
92,Polygon Z,12/1/2014,UA,Digital SDMI Imagery,Medium Resolution Satellite Derived,Crab Glacier,{2FFCA68B-A7C1-4BBD-87C9-A31FC04BDDFC},4842.361122,1192332.781,705360.8643,-327694.1257
93,Polygon Z,12/1/2014,UA,Digital SDMI Imagery,Medium Resolution Satellite Derived,Finger Glacier,{A7234606-C1DD-4E29-BB61-594C036357EF},14148.15262,4828454.744,701190.0128,-324250.088
94,Polygon Z,12/1/2014,UA,Digital SDMI Imagery,Medium Resolution Satellite Derived,<Null>,{6F72C169-581F-4D7C-92EA-36BF9A2D995E},3048.366737,256359.93,480177.1953,-1493929.146
95,Polygon Z,12/1/2014,UA,Digital SDMI Imagery,Medium Resolution Satellite Derived,<Null>,{8554FFB7-E3E4-46B7-8B02-99961707A707},3084.428203,453060.9021,480805.7401,-1494173.855
96,Polygon Z,12/1/2014,UA,Digital SDMI Imagery,Medium Resolution Satellite Derived,<Null>,{4FCC9FB3-B82D-4FCB-98D4-EE67BE3B387A},2265.825231,233771.5959,481374.0958,-1494169.553
97,Polygon Z,12/1/2014,UA,Digital SDMI Imagery,Medium Resolution Satellite Derived,<Null>,{07668D01-178F-4FA8-A625-71BA9DC9AD6B},2665.920873,298372.4834,479594.2723,-1494798.707
98,Polygon Z,12/1/2014,UA,Digital SDMI Imagery,Medium Resolution Satellite Derived,<Null>,{72031B22-5F71-451F-AB99-2FA5B0C4F5C7},2891.268966,232196.4219,479893.9131,-1494496.51
99,Polygon Z,12/1/2014,UA,Digital SDMI Imagery,Medium Resolution Satellite Derived,<Null>,{387CBA03-E150-424A-BEE7-EE2A84095223},3967.854592,519300.4668,479311.9297,-1495687.391
100,Polygon Z,12/1/2014,UA,Digital SDMI Imagery,Medium Resolution Satellite Derived,<Null>,{FB6FAD7D-7E21-441A-9245-DBDB6366B31D},1168.248071,93272.2635,1166507.18,-281201.686
101,Polygon Z,9/6/2019 10:30,UA,Digital SDMI Imagery,Medium Resolution Satellite Derived,Grinnell Glacier,{E5DDB9B9-B879-41DC-BC4F-053D9D21AB35},16680.41771,6078291.082,1226841.66,498428.1785
102,Polygon Z,12/1/2014,UA,Digital SDMI Imagery,Medium Resolution Satellite Derived,Shiels Glacier,{4CA532B3-6001-4565-BA98-047AB58BD103},9801.851104,2629398.497,1244298.76,497529.5226
103,Polygon Z,12/1/2014,UA,Digital SDMI Imagery,Medium Resolution Satellite Derived,Twentyseven Mile Glacier,{183055A1-0D77-45C7-A399-DA3D3CA3DBD4},7806.616151,1334573.878,1268461.855,439644.4983
104,Polygon Z,12/1/2014,UA,Digital SDMI Imagery,Medium Resolution Satellite Derived,Dogshead Glacier,{0CBFB0CB-F345-412B-9783-278F5A01F5B4},12128.95662,5028385.886,1267594.625,104781.9083
105,Polygon Z,12/1/2014,UA,Digital SDMI Imagery,Medium Resolution Satellite Derived,LaGorce Glacier,{DC70ED48-E17B-412B-8C32-1EC4B34C1C41},14995.71014,3186834.085,1231361.458,516616.0973
106,Polygon Z,12/1/2014,UA,Digital SDMI Imagery,Medium Resolution Satellite Derived,Rex Glacier,{91F83B7D-46BB-47F0-9C88-90F6C2C2AAD8},6523.338455,1048621.842,1310896.098,614771.9307
107,Polygon Z,10/5/2017 15:30,UA,Digital SDMI Imagery,Photo Interpretive,Aho Glacier,{8DB8E28A-52A4-4925-928E-BC24EA01FEB0},10543.79322,3705595.701,1203051.512,73409.4511
108,Polygon Z,12/1/2014,UA,Digital SDMI Imagery,Medium Resolution Satellite Derived,<Null>,{9E9A87E7-6ACC-4FAF-B6FA-A8FFC9636E24},1604.828161,124848.114,873376.438,1403131.29
109,Polygon Z,12/1/2014,UA,Digital SDMI Imagery,Medium Resolution Satellite Derived,Hummel Glacier,{A6772AC9-786C-4595-AFEB-31CEFED6B9DB},4984.102016,1096090.536,929830.7832,1446840.019
110,Polygon Z,12/1/2014,UA,Digital SDMI Imagery,Medium Resolution Satellite Derived,Gray Glacier,{4ACE9AF8-8709-4816-9356-6CD29D5B10AC},4772.393775,786847.8909,931378.3401,1452884.208
111,Polygon Z,12/1/2014,UA,Digital SDMI Imagery,Medium Resolution Satellite Derived,Ferguson Glacier,{43D3ABAB-C02C-4901-ABE4-1DBD2EB0077F},11781.43567,2838642.768,929353.993,1449994.193
112,Polygon Z,12/1/2014,UA,Digital SDMI Imagery,Medium Resolution Satellite Derived,Hidden Glacier,{19DE83D2-E4A3-4EF9-8F1D-5FC3A9BFD38A},9949.301264,1867006.958,932257.9477,1453810.167
113,Polygon Z,12/1/2014,UA,Digital SDMI Imagery,Medium Resolution Satellite Derived,Thumb Glacier,{5921F8D9-CE64-434F-A318-A074DFBF08FF},9666.314983,2055124.299,926291.0534,1450306.893
114,Polygon Z,12/1/2014,UA,Digital SDMI Imagery,Medium Resolution Satellite Derived,Casey Glacier,{D8EEB8C6-D9F7-44C0-9A6F-221743001A1D},9695.042204,2256398.104,931574.417,1451431.913
115,Polygon Z,12/1/2014,UA,Digital SDMI Imagery,Medium Resolution Satellite Derived,Gracey Creek Glacier,{2831D92D-D43E-4B48-B086-179942DCF58D},13735.74593,4713487.149,943567.4475,1421543.916
116,Polygon Z,12/1/2014,UA,Digital SDMI Imagery,Medium Resolution Satellite Derived,Nelson Glacier,{04200658-FCC8-4724-9AB6-D7484BEB5ACA},15337.78254,5656242.784,942866.5846,1326512.29
117,Polygon Z,12/1/2014,UA,Digital SDMI Imagery,Medium Resolution Satellite Derived,Red Glacier,{E4F57ABB-E85B-4978-B8CA-5C3AE8E45950},4825.78005,993290.1191,923875.8421,1455220.996
118,Polygon Z,12/1/2014,UA,Digital SDMI Imagery,Medium Resolution Satellite Derived,Chilkat Glacier,{EC1F8E14-CE49-4B8D-A97F-A55E0592CFFE},3084.864301,65352.76816,1228781.026,1018671.137
119,Polygon Z,12/1/2014,UA,Digital SDMI Imagery,Medium Resolution Satellite Derived,Kulavok Glacier,{E5CE776A-39CE-4205-BF63-252404095953},3312.464551,446800.1626,2162311.395,365727.2196
120,Polygon Z,12/1/2014,UA,Digital SDMI Imagery,Medium Resolution Satellite Derived,Chamberlin Glacier,{6E5E462F-1280-4F5F-81BC-E328F2B04112},7513.350272,1650654.027,2171150.516,361985.7843
121,Polygon Z,12/1/2014,UA,Digital SDMI Imagery,Medium Resolution Satellite Derived,Split Glacier,{DCD156F5-F0B9-497B-8DFC-4E19453E64B0},16682.91559,3695034.623,2170092.889,392875.1941
122,Polygon Z,12/1/2014,UA,Digital SDMI Imagery,Medium Resolution Satellite Derived,Leffingwell Glacier,{BA4EEE2D-A21A-4323-82F3-096284E113CD},25170.94458,6392421.445,2175859.746,390979.7547
123,Polygon Z,10/6/2020 9:24,SMUMN,Digital SDMI Imagery,Medium Resolution Satellite Derived,McCall Glacier,{C264BF6B-3C7F-4BA1-A502-217412A06BFA},21147.1714,6433485.043,2178830.201,405196.0196
124,Polygon Z,12/1/2014,UA,Digital SDMI Imagery,Medium Resolution Satellite Derived,Gooseneck Glacier,{4C852DD2-B480-491C-8E97-18BD056FC3FB},7671.877275,1464383.307,2182051.475,406359.2576
125,Polygon Z,12/1/2014,UA,Digital SDMI Imagery,Medium Resolution Satellite Derived,Hubley Glacier,{3385104C-8410-44A9-97BE-29567ECD62AD},15595.15535,3460772.926,2177717.853,408767.1231
126,Polygon Z,12/1/2014,UA,Digital SDMI Imagery,Medium Resolution Satellite Derived,Bravo Glacier,{8C8558C7-9489-4D76-98B0-B253526F72E0},7337.485378,1709255.458,2175388.042,405815.5555
127,Polygon Z,12/1/2014,UA,Digital SDMI Imagery,Medium Resolution Satellite Derived,Schwanda Glacier,{3572B898-B4C0-4FC8-897E-BC3518B7BC5D},11028.37294,2623747.951,2175500.452,408236.0092
128,Polygon Z,12/1/2014,UA,Digital SDMI Imagery,Medium Resolution Satellite Derived,Mint Glacier,{36E5C121-F827-42D7-B71D-CDE96615C2A5},6127.051889,780585.4785,1331219.165,258793.6037
